,longitude,latitude,time,B8,B4,B5,B11,B9,B1,SR_n2,SR_N,TBVI1,NDWI,NDVI_G,P,K,OC,N,pH
0,74.93472113963392,33.80059478521579,1613454580078,,,,,,,,,,,,,,,,
1,74.80850784221512,33.800864279801026,1613454580078,,,,,,,,,,,,,,,,
2,74.93552962338963,33.800864279801026,1613454580078,1376.0,1136.0,1374.0,2015.0,1740.0,996.0,1.176068376068376,1.3128249566724437,0.5435126582278481,-0.08091123330714847,0.12849162011173185,12.241877100830857,716.0422739684333,0.20254034728358616,265.8404367543786,7.955
3,74.93579911797487,33.80041512215897,1613454580078,,,,,,,,,,,,,,,,
4,74.93561945491804,33.800864279801026,1613454580078,,,,,,,,,,,,,,,,
5,74.93588894950328,33.800684616744206,1613454580078,2328.0,1390.0,1729.0,2462.0,1575.0,1013.0,1.7962962962962963,1.955105633802817,0.6034904013961606,-0.2847682119205298,0.2630082456639181,10.289908810091731,182.32683339004004,0.5611390485990372,181.26397752828925,7.955
6,74.93579911797487,33.80059478521579,1613454580078,1860.0,1406.0,1445.0,2208.0,1575.0,1013.0,1.3191489361702127,1.4505494505494505,0.5314453843324751,-0.13761467889908258,0.13443830570902393,14.878340077809431,734.9814527854386,0.283073256949013,212.08623498155026,8.205
7,74.93526012880439,33.800864279801026,1613454580078,1958.0,1628.0,1792.0,2415.0,1740.0,996.0,1.3337874659400546,1.547581903276131,0.58295380611581,-0.14302393461762988,0.14947856315179606,6.857511641898849,679.8561439888913,0.0,184.83533888513716,6.9125
8,74.9353499603328,33.80104394285785,1613454580078,2120.0,1588.0,1731.0,2528.0,1740.0,996.0,1.5451895043731778,1.7,0.5946410168327035,-0.21420389461626574,0.1876850207223209,10.323850058594765,267.9724172096455,0.06877111383439483,176.47686184652264,7.825
9,74.93606861256009,33.80077444827262,1613454580078,,,,,,,,,,,,,,,,
10,74.9353499603328,33.80095411132944,1613454580078,1906.0,1466.0,1731.0,2528.0,1740.0,996.0,1.4913928012519562,1.7443478260869565,0.600833044081916,-0.1972361809045226,0.22168087697929353,9.473811281804247,228.7588614219424,0.100840003373453,192.42376593752465,7.6
11,74.93579911797487,33.80077444827262,1613454580078,1938.0,1438.0,1279.0,1900.0,1575.0,1013.0,1.4002890173410405,1.2766295707472177,0.5041387465510445,-0.16676700782661047,0.07424749163879599,30.27832536764944,659.5888728571429,0.4112687637741054,269.9036496060998,8.0125
12,74.93588894950328,33.80041512215897,1613454580078,,,,,,,,,,,,,,,,
13,74.93588894950328,33.80059478521579,1613454580078,2236.0,1492.0,1729.0,2462.0,1575.0,1013.0,1.6109510086455332,1.8086319218241043,0.5847142374027731,-0.23399558498896247,0.23081185924078693,12.672535648556986,242.43176878918686,0.2502998949858749,188.41082545335775,7.3875
14,74.73152222236608,33.801133774386265,1613454580078,,,,,,,,,,,,,,,,
15,74.9353499603328,33.80059478521579,1613454580078,2044.0,1662.0,1797.0,2517.0,1740.0,996.0,1.2775,1.4726507713884993,0.5575550729134346,-0.12184412733260154,0.13513513513513514,9.283741111153722,743.7157253518241,0.07160541292523503,190.7507417371871,7.78
16,74.93561945491804,33.80041512215897,1613454580078,1946.0,1636.0,1655.0,2370.0,1814.0,1089.0,1.2685788787483703,1.4176737160120847,0.5555555555555556,-0.11839080459770115,0.10055702140134858,11.746824552514452,754.1410772816167,0.06472003092525669,188.70051218457593,7.7475000000000005
17,74.93579911797487,33.800864279801026,1613454580078,1534.0,1224.0,1279.0,1900.0,1575.0,1013.0,1.1246334310850439,1.2746031746031745,0.5037416305632139,-0.05866114561766736,0.08148148148148149,19.26600307511648,484.31344194462395,0.5570071864062358,298.7322570532272,7.8775
18,74.93561945491804,33.800864279801026,1613454580078,,,,,,,,,,,,,,,,
19,74.93570928644645,33.80077444827262,1613454580078,,,,,,,,,,,,,,,,
20,74.80850784221512,33.80104394285785,1613454580078,,,,,,,,,,,,,,,,
21,74.93579911797487,33.80059478521579,1613454580078,1860.0,1406.0,1445.0,2208.0,1575.0,1013.0,1.3191489361702127,1.4505494505494505,0.5314453843324751,-0.13761467889908258,0.13443830570902393,14.878340077809431,734.9814527854386,0.283073256949013,212.08623498155026,8.205
22,74.93561945491804,33.80050495368738,1613454580078,1888.0,1438.0,1655.0,2370.0,1814.0,1089.0,1.2913816689466484,1.4416282642089093,0.5596888738586405,-0.1271641791044776,0.12428870919436957,10.350827918244672,800.4920335143444,0.017248893177365998,189.77045282171656,7.9675
23,74.93588894950328,33.80059478521579,1613454580078,2236.0,1492.0,1729.0,2462.0,1575.0,1013.0,1.6109510086455332,1.8086319218241043,0.5847142374027731,-0.23399558498896247,0.23081185924078693,12.672535648556986,242.43176878918686,0.2502998949858749,188.41082545335775,7.3875
24,74.93588894950328,33.80059478521579,1613454580078,2236.0,1492.0,1729.0,2462.0,1575.0,1013.0,1.6109510086455332,1.8086319218241043,0.5847142374027731,-0.23399558498896247,0.23081185924078693,12.672535648556986,242.43176878918686,0.2502998949858749,188.41082545335775,7.3875
25,74.93588894950328,33.80041512215897,1613454580078,,,,,,,,,,,,,,,,
26,74.93597878103168,33.80050495368738,1613454580078,,,,,,,,,,,,,,,,
27,74.93588894950328,33.80095411132944,1613454580078,,,,,,,,,,,,,,,,
28,74.93526012880439,33.80059478521579,1613454580078,1994.0,1558.0,1797.0,2517.0,1740.0,996.0,1.404225352112676,1.6719745222929936,0.5886013756960367,-0.1681312243702402,0.19318181818181818,7.9363532855967485,190.79273594093445,0.004605940032612499,173.7205233027726,6.9125
29,74.9353499603328,33.800864279801026,1613454580078,1874.0,1498.0,1792.0,2415.0,1740.0,996.0,1.348201438848921,1.5746031746031746,0.5871559633027523,-0.1482843137254902,0.17605216360403084,6.502435893802058,514.7953299373221,0.0,188.6258460279943,6.9125
30,74.93588894950328,33.80104394285785,1613454580078,1288.0,1038.0,1263.0,1875.0,1575.0,1013.0,1.2105263157894737,1.4789311408016443,0.5648479427549195,-0.09523809523809523,0.14982021574111068,6.5175227735341394,769.2855633891108,0.1701197583989349,252.93664799308132,8.1325
31,74.9353499603328,33.80059478521579,1613454580078,2044.0,1662.0,1797.0,2517.0,1740.0,996.0,1.2775,1.4726507713884993,0.5575550729134346,-0.12184412733260154,0.13513513513513514,9.283741111153722,743.7157253518241,0.07160541292523503,190.7507417371871,7.78
32,74.80554340177753,33.80095411132944,1613454580078,5728.0,4992.0,4804.0,4435.0,4853.0,4647.0,1.115264797507788,0.9420592705167173,0.477155343663091,-0.054491899852724596,-0.017533432392273403,30.41912729306423,173.72564263753011,0.4133418076500907,204.11317960380035,4.7175
